lo peor de todo es que no me dan por un tiempo y luego vuelven estoy hasta la verga de estl	0
a la vga no seas mamón 45 putos minutos después me dices que apenas sales no me querías avisar en 3 horas? 😑	0
considero que lo más conveniente seria que lo retes a unos vergazos mi jelipe! rómpele la madre a ese pinchi joto!	0
"el marica de mi ex me tiene bloqueada de todo así  uno no puede admirar la ""belleza"" de su garnacha 😂"	1
mujer despechadaya pinche amlo hazle esta que se pela la loca #reynosafollow #reynosa	0
putos. no tienen madre. ambriados mantenidos. ojetes. como es posible. mejor matarlos	1
ustedes si puden andar de chanceros pero cuidadito y seamos nosotras porque luego luego empiezan a mamar hijos de la chingada.	1
@usuario jajjaja te digo esa madre si está buena ajjaja	0
odio los putos trámites de titulación 😡😡😡😡😡😡😡😡😡😡😡 pero me urge la precedula.	0
@usuario no te equivocabas mi madre y tu tenían muchísima razón siempre es mejor lo que viene 💚	0
"""no me importa lo que digan esos putos periodistas la puta que los pario oh oh oh hay que alentar a la selección"""	1
ok ok está bien ya me pasé de verga.  *se baja del tren del mame*	0
hermosas nalguitas 😘😘 con ganas de mamar ese culito hermoso	1
matías romero oaxaca. de pie y con ganas de salir adelante. ¡qué orgullo! por esto te amo mi méxico por tu gente… <url>	0
me caga lo doble moral y mustia que es la gente sí todos somos mierdas putas cabrones culeros...¿y?	1
pinche #tritdn tan pendejo!!!! ya sabian que estos putos son mañosos!! y no aprenden!!!! pendejos!!! así otros 2 si no mejoran!!	1
@usuario @usuario y si este #hermano #hdp @usuario tuyo ;se queda en #panamá ? el  🐷 d #javidu sonreía en #guatemala  estaría mejor allá	1
porque lo primero que busco en una cuenta es verificar si son domadores de putas.	1
se llevó mi chamarra mi pantalón y mis tenis basta que cabrona es me tiene hasta la verga ya que se compre sus putas cosas heeelp	0
puta madre quiero suicidarme por la hdp de la gastritis	0
no hay como las milanesas de mi madre que cosa ricaaaaa	0
imposible dejar de mirarte y de contemplarte mi loca pasión...	0
ay amigxs la tristeza invade nuestros corazones es el cinco pero de octubre a la puta verga.😞😞😞💔 (jajajajaja que pendeja la dvd)	0
para cada loco siempre hay una loca que muerde la boca de esas que se alocan.	0
me caga ser tan celosa y querer matar a cualquier niña que ve o le habla a mi novio🙃muéranse putas es sólo mío	1
@usuario son putos y les da miedo... total ya todos saben que les gusta por atrás... al menos a uno mas que al otro...	1
"estoy hasta la verga de sus putos tweets de ""open for a surprise"" ✊🏻"	0
@usuario @usuario @usuario a ti t da pena mostrar tu foto por tu cara de estupido y maricon que tienes ve con el america a chingar a su madre	1
@usuario luchona buchona mamona y sangrona y copiona	1
el hijo de la jefa de mi mamá está bien guapo. pero tiene 16 :( y una novia. porqué me haces esto diosito	0
@usuario @usuario yo le decía a marquitos pero pues te pones el saco marica	1
awebo putos el señor zhang ya me dio regalo en clase de asia	0
y tal vez si no estuvieras tan violado por maricon no criticaras como vieja chismosa no crees sapo?	0
"yo nunca uso la palabra ""verga"" y eso no significa que no sea una pinche lépera."	0
lo que buscamos en una mujer principalmente es que no nos esté chingando la existencia si es guapa o no al final vale verga.	1
pendejos pero q tal si huviera perdido el puto dl puebla pinchi equipo mediocre	1
@usuario que nuestro señor jesus lo cuide y proteja y nuestra madre maria lo guíe  y lo mantenga bajo su manto sagrado su santidad. buen vieje	0
jajaja “acaba la prepa” “buchón” jajajaja conozco niñitas que se defienden mejor que tú. llégale a la verga pinche puñetas.	1
solo espero que hoy no me toque el mismo #traficogt ee todas las putas mañanas	0
pinche mono maricon muy chingon haciendo llorar a una señora mayor no has de tener madre ojete!!!	1
putos simios ojalá no lleguen al mundial malditos hondureños miserables.	1
che si el relator es de allboys ponganlo a relatar a los putos de floresta! tremendo culo ardido el hijo de puta.	1
por qué putas ponen a benedetto de inicio después del papelón que hizo con perú?	0
@usuario igual que todos lo políticos hdp (hijos de puta. para que no quede duda) de lo que se roban así como tu. no te mordiste la lengua?	1
@usuario lo dudó son sus amigos del marica @usuario. y los que dieron domicilio falso los van a buscar en la sección amarilla? 🤔🤔🤔	1
desde que @usuario @usuario @usuario @usuario ya no tuitean esta red social vale verga	0
pague infracciones del bmw... y lo lleve a verificar 😐 esta vida loca! 😢😢	0
regresé perritos y ando muy cachonda asi que quiero verga	0
y me fue súper verga en mi trabajo yeeeei los días buenos come back 😎	0
la semana de exámenes y proyectos me está dando en la madre 🙄	0
como serás pendejo maldito homosexual de cagada ojalá putin llegue a tener el control del nuevo…	1
si la vida me da la oportunidad de ser madre me asegúrare de que el o ella ame a los seres vivos tanto como yo 😿	0
de verdad no estoy loca solo soy el producto de algunas drogas.	0
les urge la verga pero andan de mamonas así como ps	1
que putos pues si no quisiera ir pues no iba pero no vaya a faltar un maestro porque uy súper necesario	0
